id,speaker_id,article_id,gender,age,race,education,income,O,C,E,A,N,iri.perspective,iri.distress,iri.fantasy,iri.concern,text,z.iri.perspective,z.iri.distress,z.iri.fantasy,z.iri.concern,c.iri.perspective,c.iri.distress,c.iri.fantasy,c.iri.concern
0,0,273,2,26,1,6,65000.0,6.5,6.0,6.0,7.0,6.0,4.429,1.429,2.857,4.571,"Have you read the article about the police apprehending the rioters involved in the North Dakota pipeline incident? Personally, I don't feel remorseful about it. I believe they violated the law and received the appropriate consequences. You have the freedom to make your own choices, but you cannot escape the repercussions that accompany those choices.",0.6918162939739291,-1.4416058646073606,-0.5793301588973242,0.9170520748639004,y,n,n,y
1,0,395,2,26,1,6,65000.0,6.5,6.0,6.0,7.0,6.0,4.429,1.429,2.857,4.571,"Have you heard about the recent incident of murder-suicide? The person involved shares the same name as the school principals at the twins' school. I sincerely hope there is no connection between them. It's quite frightening to realize that we never truly know someone. Sometimes, I wonder if my husband might lose control with me. I can be difficult at times, but he works a lot, and the future is uncertain.",0.6918162939739291,-1.4416058646073606,-0.5793301588973242,0.9170520748639004,y,n,n,y
2,1,9,1,30,1,2,55000.0,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"I believe it is a dreadful and frightening occurrence, mainly because there is currently no reliable warning system capable of detecting such a powerful earthquake. I truly hope that scientists can create an effective early detection system, as it has the potential to save thousands of lives. Personally, I cannot comprehend how people manage to live in areas prone to earthquakes. The constant fear of the ""big one"" striking at any moment and completely disrupting their lives (if they are fortunate enough to survive) is truly terrifying to me.",-0.8800082592945723,-1.6215551637007832,-0.7786568569865939,-0.0317635956641788,n,n,n,n
3,1,228,1,30,1,2,55000.0,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"It is truly devastating for such an unfortunate event to occur. It is heartbreaking to realize that these occurrences still happen in certain parts of the world. I cannot even begin to imagine the unimaginable hardships those young girls must have endured. It must have been an incredibly traumatic experience for them, and I sincerely hope that they do not suffer any long-term psychological effects from it. The fact that there are individuals in the world capable of committing such heinous acts is truly distressing.",-0.8800082592945723,-1.6215551637007832,-0.7786568569865939,-0.0317635956641788,n,n,n,n
4,1,302,1,30,1,2,55000.0,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"It is worrisome that pollution can significantly affect the survival of individuals with lung cancer. While not entirely surprising, it serves as another compelling reason why we should prioritize cleaner living practices as a society. I believe that air pollution likely causes similar harm to those without cancer, although it may be more challenging to discern the effects.",-0.8800082592945723,-1.6215551637007832,-0.7786568569865939,-0.0317635956641788,n,n,n,n
5,2,9,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"Reading stories about large-scale natural disasters is extremely difficult. There are limited measures that can be taken to prepare for such events, and often these preparations only minimize the damage to a small extent. It is disheartening to witness the actions of certain individuals in these circumstances. Instead of assisting their fellow citizens, they resort to looting and stealing resources from those already struggling with the effects of the natural disasters.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
6,2,94,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"This is one of the worst situations I can envision. When you don't feel safe in the city you reside in, let alone your own home, it's time to consider relocating. However, I can imagine that these individuals have no alternative options. Circumstances like this disrupt everyday life and instill a fear that most people in their regular routines will never experience.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
7,2,99,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"I find stories like this slightly irritating. Since I don't follow celebrity news, when it unexpectedly comes across my path, I simply think, ""Why should I care?"" These individuals will never be a part of my actual life, they won't affect me, and they won't even occupy my thoughts independently.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
8,2,125,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"Fires have a way of deeply affecting me emotionally. I have personally experienced this and the fear still lingers within me. A fire has the ability to destroy everything one possesses and can leave a lasting trauma. Often, individuals or families are abruptly awakened by blaring alarms and sudden smoke, forcing them to quickly choose their most valuable belongings to rescue. It is an incredibly frightening situation.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
9,2,150,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"It is unfortunate that a woman lost her life in this manner, but such incidents do occur. It is difficult to determine who should be held responsible, as these events are unpredictable. However, the collision between the female pilot and another aircraft suggests that proper protocols were not followed. The other plane should not have been in close proximity to her.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
10,2,169,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"I am uncertain about my feelings towards this article. I believe that parents in this situation should experience some form of repercussions, not necessarily imprisonment, but rather community service or mandatory educational classes to prevent similar situations in the future. It is difficult to admit, but the parents are responsible for this incident, as it is a clear example of negligence.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
11,2,228,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"Individuals of this kind are among the most undesirable. It is unfortunate that parents feel compelled to send their children away for work. This solution is narrow-minded and, to be frank, exploits their own offspring. These children have the potential to become so much more if given a proper education, but it is wasted.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
12,2,233,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"I'm unsure about my exact feelings regarding this situation. It's truly one of the most terrible actions a person could commit. Exploiting someone who has recently experienced a traumatic event is one of the most unimaginable things someone could do. These individuals seek your assistance and place their trust in you, only to have that trust shattered in the most devastating manner.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
13,2,283,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"I find it quite astonishing that some women would support such a system. It seems incredibly unjust to keep women in a state of near-slavery to their husbands. This suggests that women are incapable of taking care of themselves and require constant guidance and supervision from their husbands. Additionally, what about women who do not desire a husband?",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
14,2,289,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"In my opinion, this article effectively captures the experience of going through cancer. I have personally witnessed individuals facing similar situations, and it seems that many people tend to become overwhelmed upon receiving a diagnosis. I believe that if more individuals confronted the problem directly, there would be a significant reduction in feelings of helplessness.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
15,2,375,1,30,1,2,30000.0,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"I find it extremely bothersome when individuals hunt animals solely for sport, and it is even more distressing when those animals are endangered. If we do not take measures to safeguard these endangered species, this problem is likely to worsen in the future. The severity of this situation calls for some form of punishment or necessary actions to be implemented.",0.1018663960280084,-1.2629149522208851,1.0138895328231994,0.1265568721135522,y,n,y,n
