id,speaker_id,article_id,gender,age,race,education,income,O,C,E,A,N,iri.perspective,iri.distress,iri.fantasy,iri.concern,text,z.iri.perspective,z.iri.distress,z.iri.fantasy,z.iri.concern,c.iri.perspective,c.iri.distress,c.iri.fantasy,c.iri.concern
0,0,273,2,26,1,6,65000,6.5,6.0,6.0,7.0,6.0,4.429,1.429,2.857,4.571,"Hey, did you see the article about the police arresting all the rioters over the North Dakota pipeline? I don't really feel guilty about it. I think they broke the law and they got what was coming to them. You are free to make your own choices, but you are not free of the consequences that come with those choices.",0.6918162939739291,-1.441605865,-0.579330159,0.9170520748639004,y,n,n,y
1,0,395,2,26,1,6,65000,6.5,6.0,6.0,7.0,6.0,4.429,1.429,2.857,4.571,"Have you heard about the murder-suicide that happened recently? The perpetrator shares the same name as the principal at the twins' school. I sincerely hope there is no connection between the two. It's unsettling to think that you can never truly know someone. Sometimes, I wonder if my husband might snap",0.6918162939739291,-1.441605865,-0.579330159,0.9170520748639004,y,n,n,y
2,1,9,1,30,1,2,55000,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"I think it's a terrible and quite scary thing because there is really no warning system that could detect an earthquake of that caliber. I sincerely hope that scientists are able to develop an accurate early detection system. It could save thousands of lives. I honestly don't know how people are able to live in earthquake-prone areas. The thought of the ""big one"" striking at any minute and completely upturning your life (if you're lucky!) is terrifying to me.",-0.880008259,-1.621555164,-0.778656857,-0.031763596,n,n,n,n
3,1,228,1,30,1,2,55000,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"This is such a terrible thing to happen. To think that these things still happen in parts of the world is heartbreaking. I can't even fathom what those little girls must have been through. That must have been a horrible experience for them, and I hope there are no lasting mental effects from it. To think that there are such monsters in the world that would do such a thing is truly distressing.",-0.880008259,-1.621555164,-0.778656857,-0.031763596,n,n,n,n
4,1,302,1,30,1,2,55000,5.0,6.5,5.0,6.0,7.0,3.286,1.286,2.714,3.714,"It's concerning that pollution can have such an impact on the survival of lung cancer sufferers, although I don't find it all that surprising. It's just another reason among a long list of why we need to start living more cleanly as a whole. I suspect that air pollution does just as much damage to non-cancer sufferers, just that it's probably harder to tell.",-0.880008259,-1.621555164,-0.778656857,-0.031763596,n,n,n,n
5,2,9,1,30,1,2,30000,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"It is truly disheartening to read accounts of natural disasters that have a profound impact on entire nations. The scale of devastation is often overwhelming, and the preparations that can be made are often inadequate to prevent significant damage. What is even more disturbing is the response of some individuals who, instead of offering assistance to their neighbors, engage in looting and theft, taking advantage of the chaos and vulnerability caused by the disaster.",0.1018663960280084,-1.262914952,1.0138895328231994,0.1265568721135522,y,n,y,n
6,2,94,1,30,1,2,30000,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"This situation is one of the worst that I can imagine. When you can't even feel safe in the city you live in, let alone your own house, it's time to move. I can imagine that these people have nowhere to go, though. Situations like this disrupt normal life and induce a fear that many people in their normal lives will never know.",0.1018663960280084,-1.262914952,1.0138895328231994,0.1265568721135522,y,n,y,n
7,2,99,1,30,1,2,30000,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"Stories like this always manage to irritate me a bit. I don't keep up with celebrity news, so when some does manage to find its way in front of me, I just think, ""Who cares?"" I will never see these people in my real life, they will never have an impact on me, and they will never even cross my mind on their own.",0.1018663960280084,-1.262914952,1.0138895328231994,0.1265568721135522,y,n,y,n
8,2,125,1,30,1,2,30000,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"Fires have a profound impact on my emotions, leaving an enduring fear that lingers to this day. They possess the devastating power to ravage everything a person owns, leaving them traumatized. Often, individuals or families are abruptly awakened by piercing alarms and the sight of smoke billowing from unexpected places. In such dire circumstances, they are forced to make split-second decisions, hurriedly selecting their most cherished possessions to salvage. These situations are undeniably terrifying.",0.1018663960280084,-1.262914952,1.0138895328231994,0.1265568721135522,y,n,y,n
9,2,150,1,30,1,2,30000,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"It is tragic that a female pilot lost her life in this accident, but unfortunately, such incidents do occur. It is difficult to assign blame in such situations, as they are often unpredictable. However, the fact that the pilot was struck by another aircraft suggests that proper protocols may not have been followed. The other aircraft should not have been in close proximity to the pilot's aircraft.",0.1018663960280084,-1.262914952,1.0138895328231994,0.1265568721135522,y,n,y,n
10,2,169,1,30,1,2,30000,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"I have mixed feelings about this article. On the one hand, I believe that parents in this situation should face some form of consequences. However, I do not necessarily think that jail time is always the best solution. Instead, I propose that parents be required to participate in community service or educational classes to help them avoid similar situations in the future. While it may be difficult to admit, the parents are ultimately responsible for their child's well-being, and their negligence in this case is undeniable.",0.1018663960280084,-1.262914952,1.0138895328231994,0.1265568721135522,y,n,y,n
12,2,233,1,30,1,2,30000,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"I am at a loss for words to express my feelings about this situation. It is one of the most heinous acts I can imagine. Taking advantage of someone who has just experienced a traumatic event is beyond despicable. These individuals come to you for help and place their trust in you, only to have that trust shattered in the most devastating way.",0.1018663960280084,-1.262914952,1.0138895328231994,0.1265568721135522,y,n,y,n
14,2,289,1,30,1,2,30000,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"I found this article to be an insightful portrayal of the experience of battling cancer. Having witnessed several individuals navigate similar circumstances, I've observed that many tend to succumb to despair upon receiving a diagnosis. If more people were to confront the challenge head-on, there would be a significant reduction in the sense of helplessness associated with it.",0.1018663960280084,-1.262914952,1.0138895328231994,0.1265568721135522,y,n,y,n
15,2,375,1,30,1,2,30000,6.5,6.0,4.0,4.0,5.5,4.0,1.571,4.0,3.857,"It truly bothers me when people engage in the killing of animals solely for sport, particularly when those animals are endangered. If measures are not taken to safeguard endangered species, this situation is likely to worsen in the future. This situation is escalating to a point where some form of punishment or action needs to be implemented.",0.1018663960280084,-1.262914952,1.0138895328231994,0.1265568721135522,y,n,y,n
17,4,313,2,58,1,5,28000,6.0,6.0,6.0,6.0,6.0,4.714,1.286,4.571,5.0,"Immigration across the globe has become a delicate and complex issue. Germany, known for its welcoming attitude towards immigrants seeking refuge from war-torn nations, is facing challenges in accommodating the influx of refugees. The primary obstacle for refugees lies in proving their asylum case, particularly for those from countries like Nigeria and Pakistan. The absence of a declared war in these countries makes it difficult for them to substantiate claims of violence upon their return. This, coupled with an overburdened asylum system, diminishes their chances of obtaining asylum. Consequently, Germany is actively negotiating with countries like Afghanistan to facilitate the repatriation of refugees.",1.0837410513505896,-1.621555164,1.8098024321866453,1.3920134781970934,y,n,y,y
18,5,3,2,22,3,6,100000,4.5,5.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,"
Two young girls, aged 10 and 13, miraculously survived the tragic Thunder River Rapids ride accident at Dreamworld on Australia's Gold Coast. They were thrown to safety from the doomed raft and witnessed the horrifying deaths of the four adults who were with them.

A malfunction with the ride's conveyor belt is suspected to have caused the six-person raft to flip, resulting in the deaths of two men, aged 38 and 35, and two women, aged 42 and 32. The incident occurred at approximately 2:20 pm on Tuesday.

Among the victims were Canberra woman Kate Goodchild, 32, her brother Luke Dorsett, 35, his partner Roozi Araghi, 38, and another woman. The New Zealand Herald has identified the fourth victim as Cindy Low, 42, from Kawerau.

The tragic event has left me deeply saddened and devastated.",-0.291433536,0.3553703529129718,-0.977983555,-0.347297395,n,y,n,n
19,5,9,2,22,3,6,100000,4.5,5.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,"I am deeply concerned about the powerful 7.8 magnitude earthquake that struck central New Zealand early on Monday, resulting in the tragic loss of at least two lives, causing significant damage to roads and buildings, and triggering hundreds of strong aftershocks. This is a truly devastating event, and I sincerely hope that measures can be taken to prevent such tragedies from occurring in the future.",-0.291433536,0.3553703529129718,-0.977983555,-0.347297395,n,y,n,n
20,5,45,2,22,3,6,100000,4.5,5.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,"I express my deep concern and sorrow regarding the airstrike conducted by fighter jets from a U.S.-backed Saudi-led coalition on a security complex in the western Yemeni city of Hodeidah late Saturday night. This tragic incident resulted in the loss of at least 43 lives and left many more injured, as reported by Yemeni officials and local news sources. Such actions are deeply saddening and unacceptable.",-0.291433536,0.3553703529129718,-0.977983555,-0.347297395,n,y,n,n
21,5,49,2,22,3,6,100000,4.5,5.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,"I am writing to express my thoughts on polar bears, the poster-child for climate change. Polar bears are among the animals most affected by the seasonal and year-to-year changes in Arctic sea ice because they rely on this surface for essential activities such as hunting, traveling, and breeding. Researchers recommend that the National Climate Assessment incorporate the timing of spring ice retreat and fall ice advance as measures of climate change in future reports. The study's results are currently used by the International Union for Conservation of Nature's polar bear specialist group, which completes assessments of polar bears and issues the species' conservation status. I am very pleased with this information.",-0.291433536,0.3553703529129718,-0.977983555,-0.347297395,n,y,n,n
22,5,57,2,22,3,6,100000,4.5,5.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,"The statement ""But the animals' problems may not be over. Our experience rescuing and rehabilitating wild animals that have spent years in captivity—often in appalling and traumatic conditions—has taught us that this can lead to a wide range of physical and psychological problems,"" said Knight, saddens me because this situation is far from being resolved, and some animals will continue to suffer.",-0.291433536,0.3553703529129718,-0.977983555,-0.347297395,n,y,n,n
23,5,67,2,22,3,6,100000,4.5,5.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,"The tragic incident off the coast of Libya, where an estimated 239 migrants lost their lives in two separate shipwrecks, as reported by the United Nations refugee agency on Thursday, adds to the grim record of this year as the deadliest on the Mediterranean Sea. According to survivor accounts, two overcrowded boats broke apart just off the Libyan coast on Wednesday, as stated by Carlotta Sami, spokeswoman for the U.N. High Commissioner for Refugees. This devastating event is unacceptable and demands immediate attention and action to prevent further loss of life.",-0.291433536,0.3553703529129718,-0.977983555,-0.347297395,n,y,n,n
24,5,73,2,22,3,6,100000,4.5,5.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,"Billy Bob Thornton opens up about his three-year marriage to Angelina Jolie, who is currently in the midst of a divorce from Brad Pitt. The 61-year-old actor married Jolie, who is 20 years his junior, in 2000 after they met on the set of the 1999 movie, ""Pushing Tin."" They separated in June 2002 and divorced the following year. ""I never felt good enough for her,"" Thornton tells the November issue of GQ magazine. This is truly disheartening to hear from someone I respect so much.",-0.291433536,0.3553703529129718,-0.977983555,-0.347297395,n,y,n,n
25,5,99,2,22,3,6,100000,4.5,5.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,"Dakota Fanning's parents, Steven and Heather Fanning, have decided to end their marriage after nearly 27 years. TMZ has confirmed that Steven Fanning recently filed for divorce, citing irreconcilable differences. Since their children, Dakota and Elle, are both adults, child support is not a concern. Dakota is 22 years old, and Elle is 18. The issue of spousal support remains unclear. I have mixed feelings about this news.",-0.291433536,0.3553703529129718,-0.977983555,-0.347297395,n,y,n,n
